,"string","length","i","newInstance","toAppendTo","getThrowableInformation","Integer","parseInt","ThrowableInformationPatternConverter","arg0","options","maxLines","information","stringRep","event","getThrowableStrRep","append"
"string",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"length",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toAppendTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getThrowableInformation",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Integer",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"parseInt",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ThrowableInformationPatternConverter",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"options",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"maxLines",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"information",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"stringRep",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"event",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getThrowableStrRep",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"append",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
