,"formatted","CachedTimestamp","RelativeTimePatternConverter","format","newInstance","toAppendTo","timeStamp","LoggingEvent","lastTimestamp","arg0","newTimestamp","Long","toString","getStartTime","event","append","timestamp"
"formatted",1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CachedTimestamp",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"RelativeTimePatternConverter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"format",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toAppendTo",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"timeStamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"LoggingEvent",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lastTimestamp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newTimestamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"toString",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getStartTime",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"event",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"timestamp",0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
