,"FATAL_INT","e","INSTANCE","newInstance","INFO_INT","output","getLevel","lint","getStyleClass","WARN_INT","arg0","ERROR_INT","DEBUG_INT","toString","Level","event","append"
"FATAL_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"e",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"INSTANCE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INFO_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"output",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getLevel",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"lint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStyleClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WARN_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERROR_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DEBUG_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"toString",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Level",1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
"event",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
