,"getVersion","date","getPackage","getUser","version","url","System","revision","out","getUrl","VersionInfo","println","myPackage","getAnnotation","arg0","getDate","getBuildVersion","class","user","HadoopVersionAnnotation","getRevision"
"getVersion",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"date",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getPackage",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"getUser",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"version",2,1,0,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
"url",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"System",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"revision",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"out",0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"getUrl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"VersionInfo",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"println",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"myPackage",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getAnnotation",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"getBuildVersion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"class",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"user",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HadoopVersionAnnotation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
