,"folds","getName","foldHandler","String","put","getFoldModes","size","getFoldHandler","arg1","arg0","get","name","toArray","keySet"
"folds",0,0,0,0,1,0,1,0,0,0,1,0,0,1
"getName",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"foldHandler",0,1,0,0,0,0,0,0,1,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"put",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getFoldModes",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"getFoldHandler",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"toArray",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"keySet",1,0,0,0,0,0,0,0,0,0,0,0,1,0
