,"seg","getLineText","offset","getFoldLevel","array","line","lineIndex","segment","count","foldLevel","i","buffer"
"seg",0,0,1,0,1,0,0,1,1,0,0,0
"getLineText",0,0,0,0,0,0,0,0,0,0,0,1
"offset",1,0,1,0,1,0,0,0,0,0,0,0
"getFoldLevel",0,0,0,0,0,0,0,0,0,1,0,1
"array",1,0,0,0,0,0,0,0,0,0,0,0
"line",0,0,0,0,0,0,0,0,0,0,0,0
"lineIndex",0,0,0,0,0,2,0,0,0,0,0,0
"segment",0,0,0,0,0,0,0,0,0,0,0,0
"count",1,0,0,0,0,0,0,0,1,0,0,0
"foldLevel",0,0,0,1,0,0,0,0,0,0,0,0
"i",0,0,0,0,1,0,0,0,0,0,0,0
"buffer",0,1,0,1,0,0,0,0,0,0,0,0
