,"SimpleTimePeriod","m0","getStart","m1","getTime","start","getEnd","Date","result","that","getStartMillis","getEndMillis","obj","hashCode","arg0","equals","end","t0","t1","t2","t3"
"SimpleTimePeriod",0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStart",1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
"m1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTime",2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"start",4,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"getEnd",1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
"Date",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"that",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStartMillis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getEndMillis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"end",4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"t0",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
