,"period","printStackTrace","e","Double","getPeriod","timePeriodValue","result","getValue","obj","hashCode","arg0","equals","clone","Cloneable","toString","TimePeriodValue","value"
"period",1,0,0,0,1,2,1,0,0,1,1,1,0,0,0,7,0
"printStackTrace",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getPeriod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"timePeriodValue",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"result",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"getValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"obj",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hashCode",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"clone",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"Cloneable",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TimePeriodValue",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"value",0,0,0,1,0,2,1,1,0,1,1,1,0,0,0,7,2
