,"inclusionPatterns","getFullPath","sourceFolder","resource","isExcluded","length","binaryFolder","ClasspathDirectory","Util","ignoreOptionalProblems","ClasspathMultiDirectory","o","second","CharOperation","hasIndependentOutputFolder","md","equals","toString","exclusionPatterns","first"
"inclusionPatterns",1,0,0,0,1,1,0,0,0,0,7,0,1,0,0,1,0,0,0,1
"getFullPath",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sourceFolder",0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0
"resource",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isExcluded",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"length",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"binaryFolder",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0,0,0
"ClasspathDirectory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Util",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ignoreOptionalProblems",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0
"ClasspathMultiDirectory",7,0,4,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,7,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"second",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CharOperation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hasIndependentOutputFolder",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"md",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"equals",0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0
"toString",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"exclusionPatterns",0,0,0,0,1,1,0,0,0,0,7,0,1,0,0,1,0,0,1,1
"first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
