,"inclusionPatterns","sourceFolder","forLibrary","binaryFolder","ClasspathDirectory","ignoreOptionalProblems","outputFolder","accessRuleSet","ClasspathMultiDirectory","libraryPathname","library","forSourceFolder","isOutputFolder","forBinaryFolder","exclusionPatterns","ClasspathJar","lastModified"
"inclusionPatterns",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sourceFolder",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"forLibrary",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"binaryFolder",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ClasspathDirectory",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ignoreOptionalProblems",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"outputFolder",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"accessRuleSet",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
"ClasspathMultiDirectory",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"libraryPathname",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"library",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"forSourceFolder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isOutputFolder",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"forBinaryFolder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exclusionPatterns",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ClasspathJar",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lastModified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
