,"toCharArray","org.emftext.language.java.types.impl.CharImpl@4b7db699","rootName","insideRoot","qualifiedNameReferences","org.emftext.language.java.types.impl.CharImpl@5b3076a9","String","second","simpleStrings","QualifiedNameSet","typeNameDependencies","rootReferences","InternedQualifiedNames","keepers","internSimpleNames","org.emftext.language.java.types.impl.CharImpl@1a82d628","wellKnownName","qNames","add","qLength","qualifiedName","index","org.emftext.language.java.types.impl.CharImpl@1bd3cc9a","includes","org.emftext.language.java.types.impl.CharImpl@6eb08980","EmptyQualifiedNames","WellKnownQualifiedNames","JavaBuilder","MaxQualifiedNames","removeWellKnown","arg4","EmptySimpleNames","org.emftext.language.java.types.impl.CharImpl@ed0b638","splitOn","arg0","elementSize","name","WellKnownSimpleNames","subarray","internQualifiedNames","simpleNames","values","qualifiedNames","qualifiedTypeName","internedNames","System","CharOperation","out","result","println","MaxSimpleNames","strings","array","simpleNameReferences","arraycopy","end","rootNames","qualifiedStrings","org.emftext.language.java.types.impl.CharImpl@dd4a071","org.emftext.language.java.types.impl.CharImpl@241f90a1","temp","org.emftext.language.java.types.impl.CharImpl@47fdad4f","InternedSimpleNames","org.emftext.language.java.types.impl.CharImpl@8659eb7","sLength","length","i","j","l","NameSet","DEBUG","m","simpleName","equals","foundRoot","org.emftext.language.java.types.impl.CharImpl@8723eff","toString","ReferenceCollection","first"
"toCharArray",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@4b7db699",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rootName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"insideRoot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"qualifiedNameReferences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0
"org.emftext.language.java.types.impl.CharImpl@5b3076a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"second",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"simpleStrings",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QualifiedNameSet",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
