,"rootReferences","definedTypeNames","simpleNameReferences","AdditionalTypeCollection","qualifiedReferences","ReferenceCollection"
"rootReferences",0,0,0,0,0,1
"definedTypeNames",0,1,0,1,0,0
"simpleNameReferences",0,0,0,0,0,1
"AdditionalTypeCollection",0,1,0,0,0,0
"qualifiedReferences",0,0,0,0,0,1
"ReferenceCollection",0,0,0,0,0,0
