,"add","ArrayList","annotationType","i","list","sig","getAnnotation","ints","forValue","TestedOn","arg0","getValueSources","PotentialAssignment","class","testedOn","value"
"add",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"annotationType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"list",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sig",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getAnnotation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"ints",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"forValue",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TestedOn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getValueSources",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PotentialAssignment",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"class",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"testedOn",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
