,"otherElements","offset","getOtherElements","resource","length","insideDocComment","accuracy","ReferenceMatch","enclosingElement","participant","TypeReferenceMatch"
"otherElements",1,0,1,0,0,0,0,0,0,0,2
"offset",0,0,0,0,0,0,0,1,0,0,0
"getOtherElements",0,0,0,0,0,0,0,0,0,0,0
"resource",0,0,0,0,0,0,0,1,0,0,0
"length",0,0,0,0,0,0,0,1,0,0,0
"insideDocComment",0,0,0,0,0,0,0,1,0,0,0
"accuracy",0,0,0,0,0,0,0,1,0,0,0
"ReferenceMatch",0,0,0,0,0,0,0,0,0,0,0
"enclosingElement",0,0,0,0,0,0,0,1,0,0,0
"participant",0,0,0,0,0,0,0,1,0,0,0
"TypeReferenceMatch",2,0,0,0,0,0,0,0,0,0,0
