,"insideDoc","SearchMatch","offset","resource","length","accuracy","enclosingElement","participant","insideDocComment","getLocalElement","ReferenceMatch","localElement","element"
"insideDoc",0,0,0,0,0,0,0,0,0,0,0,0,0
"SearchMatch",0,0,0,0,0,0,0,0,0,0,0,0,0
"offset",0,1,0,0,0,0,0,0,0,0,0,0,0
"resource",0,1,0,0,0,0,0,0,0,0,0,0,0
"length",0,1,0,0,0,0,0,0,0,0,0,0,0
"accuracy",0,1,0,0,0,0,0,0,0,0,0,0,0
"enclosingElement",0,1,0,0,0,0,0,0,0,0,0,0,0
"participant",0,1,0,0,0,0,0,0,0,0,0,0,0
"insideDocComment",1,0,0,0,0,0,0,0,0,0,0,0,0
"getLocalElement",0,0,0,0,0,0,0,0,0,0,0,0,0
"ReferenceMatch",0,0,0,0,0,0,0,0,0,0,0,2,0
"localElement",0,0,0,0,0,0,0,0,0,1,2,0,0
"element",0,0,0,0,0,0,0,0,0,0,0,1,0
