,"offset","resource","FieldReferenceMatch","length","insideDocComment","isReadAccess","accuracy","isWriteAccess","ReferenceMatch","enclosingElement","participant"
"offset",0,0,0,0,0,0,0,0,1,0,0
"resource",0,0,0,0,0,0,0,0,1,0,0
"FieldReferenceMatch",0,0,0,0,0,2,0,2,0,0,0
"length",0,0,0,0,0,0,0,0,1,0,0
"insideDocComment",0,0,0,0,0,0,0,0,1,0,0
"isReadAccess",0,0,2,0,0,2,0,0,0,0,0
"accuracy",0,0,0,0,0,0,0,0,1,0,0
"isWriteAccess",0,0,2,0,0,0,0,2,0,0,0
"ReferenceMatch",0,0,0,0,0,0,0,0,0,0,0
"enclosingElement",0,0,0,0,0,0,0,0,1,0,0
"participant",0,0,0,0,0,0,0,0,1,0,0
