,"a","getTaskName","c","test","e","h","i","ConditionBase","getConditions","n","o","s","size","countConditions","u","elements","arg0","name","taskName","addElement","conditions"
"a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"getTaskName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"test",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ConditionBase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"getConditions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"size",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"countConditions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"elements",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"taskName",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"addElement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"conditions",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0
