,"add","next","r2","c","contentEquals","resources","i","hasNext","Union","ResourcesMatch","rc","iterator","size","ResourceUtils","toString","text","BuildException","asText","ioe","r1"
"add",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"next",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"r2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contentEquals",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"resources",1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"i",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Union",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ResourcesMatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"rc",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iterator",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ResourceUtils",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"text",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asText",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"ioe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"r1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
