,"b","caseSensitive","a1","arg2","a2","Equals","forcestring","eval","trim","arg1","arg0","equals","toString","equalsIgnoreCase","s1","s2"
"b",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"caseSensitive",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"a1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg2",0,0,0,6,1,1,0,0,0,0,1,0,1,0,0,1
"a2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Equals",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"forcestring",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"eval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,1,0,0,1,0,0,0,6,0,1,1,0,1,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"toString",0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"equalsIgnoreCase",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"s1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"s2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
