,"isAtLeastJavaVersion","getNeeded","e","needed","invoke","fs","HasFreeSpace","JavaEnvUtils","getPartition","partition","parseHumanSizes","eval","StringUtils","w","humanSize","BuildException","ReflectWrapper","free","File"
"isAtLeastJavaVersion",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getNeeded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"needed",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"invoke",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"fs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HasFreeSpace",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"JavaEnvUtils",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPartition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"partition",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"parseHumanSizes",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"eval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringUtils",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"w",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"humanSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ReflectWrapper",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"free",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"File",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
