,"read","DEFAULT_BUFFER_SIZE","bytesRead","ByteArrayOutputStream","getBytes","output","org.emftext.language.java.types.impl.ByteImpl@2fa9060e","result","input","arg2","buf","flush","arg0","toByteArray","write","close","bufferSize"
"read",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"DEFAULT_BUFFER_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"bytesRead",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ByteArrayOutputStream",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getBytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"output",0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0
"org.emftext.language.java.types.impl.ByteImpl@2fa9060e",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"result",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"input",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buf",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"flush",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toByteArray",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"close",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"bufferSize",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
