,"t","level","getChainedLevel","RootCategory","Throwable","LogLog","error"
"t",0,0,0,0,0,0,0
"level",0,3,1,1,0,0,0
"getChainedLevel",0,0,0,0,0,0,0
"RootCategory",0,1,0,0,0,0,0
"Throwable",1,0,0,0,0,0,0
"LogLog",0,0,0,0,0,0,1
"error",0,0,0,0,0,1,0
