,"ClassFileConstants","originalField","substitution","tagBits","constant","original","originalType","parameterizedDeclaringClass","modifiers","type","substitute","Scope","name","FieldBinding","AccEnum","id","setConstant","ParameterizedFieldBinding","AccStatic"
"ClassFileConstants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"originalField",0,1,0,1,1,1,0,0,3,2,0,0,1,0,0,1,1,4,0
"substitution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tagBits",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"constant",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"original",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"originalType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parameterizedDeclaringClass",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"modifiers",0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"type",0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"substitute",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Scope",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"name",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FieldBinding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AccEnum",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"id",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"setConstant",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ParameterizedFieldBinding",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AccStatic",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
