,"resolvedImport","isStatic","readableName","kind","isOnDemand","binding","concat","String","ImportBinding","CharOperation","reference","onDemand","IMPORT","concatWith","array","toString","compoundName","first"
"resolvedImport",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"isStatic",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"readableName",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isOnDemand",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"binding",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"concat",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ImportBinding",1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0
"CharOperation",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"reference",0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"onDemand",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"IMPORT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"concatWith",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"array",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compoundName",0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0
"first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
