,"readableName","concatWith","array","searchType","VARIABLE","kind","name","problemId","ProblemBinding","TYPE","compoundName","CharOperation"
"readableName",0,0,0,0,0,0,0,0,0,0,0,0
"concatWith",0,0,0,0,0,0,0,0,2,0,0,2
"array",0,0,0,0,0,0,0,0,0,0,0,0
"searchType",0,0,0,1,0,0,0,0,2,0,0,0
"VARIABLE",0,0,0,0,0,1,0,0,0,0,0,0
"kind",0,0,0,0,0,0,0,0,0,0,0,0
"name",1,0,0,0,0,0,1,0,3,0,0,0
"problemId",0,0,0,0,0,0,0,2,5,0,0,0
"ProblemBinding",0,0,0,1,0,0,2,2,0,0,0,0
"TYPE",0,0,0,0,0,1,0,0,0,0,0,0
"compoundName",0,0,2,0,0,0,0,0,0,0,0,0
"CharOperation",0,2,0,0,0,0,0,0,0,0,0,0
