,"name","problemId","ProblemPackageBinding","compoundName","org.emftext.language.java.types.impl.CharImpl@4c9570ef"
"name",0,0,0,0,1
"problemId",0,2,3,0,0
"ProblemPackageBinding",0,2,0,1,0
"compoundName",0,0,1,1,0
"org.emftext.language.java.types.impl.CharImpl@4c9570ef",0,0,1,0,0
