,"hashFunction","b","maxValue","length","i","k","type","Hash","Math","getBytes","result","initval","org.emftext.language.java.types.impl.IntImpl@2ab345d9","abs","HashFunction","bytes","arg0","getInstance","hashType","nbHash","hash"
"hashFunction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"b",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"maxValue",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"length",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"k",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Math",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getBytes",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"initval",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@2ab345d9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"abs",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"HashFunction",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInstance",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashType",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbHash",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"hash",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
