,"container","setName","wait","getName","removeAllAppenders","bf","aai","MIN_PRIORITY","length","Dispatcher","notify","Thread","appendLoopOnAppenders","setDaemon","arg0","get","wasFull","event","setPriority"
"container",1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"setName",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"wait",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"removeAllAppenders",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"bf",0,0,1,0,0,1,0,0,2,1,2,0,0,0,0,1,1,0,0
"aai",2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"MIN_PRIORITY",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"length",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dispatcher",1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"notify",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thread",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"appendLoopOnAppenders",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"setDaemon",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"wasFull",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"event",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"setPriority",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
