,"logDensity","innerProduct","getL","org.emftext.language.java.types.impl.DoubleImpl@46c65a08","org.emftext.language.java.types.impl.DoubleImpl@6eb6bb6e","getArray","cov","getCovariance","Math","isNaN","org.emftext.language.java.types.impl.DoubleImpl@1ad52e1f","Matrix","getProbability","org.emftext.language.java.types.impl.DoubleImpl@7a995986","estimate","exp","org.emftext.language.java.types.impl.DoubleImpl@7f5d0aba","org.emftext.language.java.types.impl.DoubleImpl@64d11b34","newData","logDeterminant","weight","mv","getRowDimension","chol","weights","lnconstant","valuePassed","Double","org.emftext.language.java.types.impl.DoubleImpl@12a974b2","subtractedMean","arg0","detL","getMean","weightedMean","CholeskyDecomposition","log","org.emftext.language.java.types.impl.DoubleImpl@134e2d92","covariance","sum","L","matrix","N","System","matrixAsArray","out","divisor","println","org.emftext.language.java.types.impl.DoubleImpl@131badfe","isInfinite","org.emftext.language.java.types.impl.DoubleImpl@614b0248","observations","scatter","weightedScatter","row","org.emftext.language.java.types.impl.DoubleImpl@19093da1","recalculate","value","cols","MultivariateGaussianEstimator","means","cd","prob","getLogDeterminant","sw","logProb","length","i","org.emftext.language.java.types.impl.DoubleImpl@3974bdb7","j","k","weightedCovariance","rows","m","org.emftext.language.java.types.impl.DoubleImpl@21d850b5","n","org.emftext.language.java.types.impl.DoubleImpl@77d1759a","abs","s","lndet","mean","org.emftext.language.java.types.impl.DoubleImpl@1a1800e7","w","clone","Log2PI","dataset"
"logDensity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"innerProduct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getL",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"org.emftext.language.java.types.impl.DoubleImpl@46c65a08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@6eb6bb6e",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getArray",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cov",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCovariance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Math",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"isNaN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
