,"att","getName","content","filter","result","ob","getNamespace","obj","hashCode","equals","arg0","name","AttributeFilter","namespace"
"att",0,1,0,4,0,0,2,0,0,0,0,0,0,0
"getName",1,0,0,0,0,0,0,0,0,0,1,0,0,0
"content",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"filter",0,0,0,0,0,0,0,0,0,0,0,2,0,2
"result",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"ob",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getNamespace",2,0,0,0,0,2,0,0,0,0,0,0,0,0
"obj",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,2,0,0,0,0,0,0,1,0,1
"equals",0,0,0,2,0,0,0,0,0,0,0,2,0,3
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,2,1,0,0,0,1,2,1,1,2,0
"AttributeFilter",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"namespace",0,0,0,2,1,1,0,0,1,3,0,0,2,1
