,"ENTITYREF","TEXT","filterMask","COMMENT","content","filter","getFilterMask","isInstance","ELEMENT","Content","obj","hashCode","arg0","PI","DOCUMENT","DOCTYPE","CDATA","class","mask"
"ENTITYREF",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEXT",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"filterMask",0,0,1,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0
"COMMENT",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"content",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"filter",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getFilterMask",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ELEMENT",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Content",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"obj",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PI",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOCUMENT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOCTYPE",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDATA",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"class",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"mask",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
