,"filter","fclass","isInstance","cast","tclass","getName","obj","hashCode","arg0","equals","toString","content"
"filter",0,0,0,0,0,0,0,0,0,0,0,0
"fclass",0,0,1,1,0,1,0,1,0,1,0,0
"isInstance",1,1,0,0,0,0,0,0,0,0,0,0
"cast",1,1,0,0,0,0,0,0,0,0,0,0
"tclass",0,1,0,0,0,0,0,0,0,0,0,0
"getName",0,1,0,0,0,0,0,0,0,0,1,0
"obj",0,0,0,0,0,0,0,0,1,0,0,0
"hashCode",0,1,0,0,0,0,0,1,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,1,0,0,0,0,0,0,0,1,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0
"content",0,0,0,0,0,0,0,0,2,0,0,0
