,"ret","next","add","isEmpty","ArrayList","hasNext","it","content","filter","unmodifiableList","emptyList","iterator","arg0","Collections"
"ret",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"next",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"add",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"isEmpty",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"it",0,1,0,0,0,1,0,0,0,0,0,1,0,0
"content",0,0,0,1,0,0,0,0,1,0,0,1,1,0
"filter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unmodifiableList",0,0,0,0,0,0,0,0,2,0,0,0,0,2
"emptyList",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"iterator",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collections",0,0,0,0,0,0,0,0,0,2,1,0,0,0
