,"DoubleConstant","getValue","getName","BooleanVariable","name","BooleanConstant","StringVariable","StringConstant","DoubleVariable","value","evaluate"
"DoubleConstant",0,0,0,0,0,0,0,0,0,1,0
"getValue",0,0,0,0,0,0,0,0,0,0,0
"getName",0,0,0,0,0,0,0,0,0,0,0
"BooleanVariable",0,0,0,0,1,0,0,0,0,1,0
"name",0,0,3,1,3,0,1,0,1,0,0
"BooleanConstant",0,0,0,0,0,0,0,0,0,1,0
"StringVariable",0,0,0,0,1,0,0,0,0,1,0
"StringConstant",0,0,0,0,0,0,0,0,0,1,0
"DoubleVariable",0,0,0,0,1,0,0,0,0,2,0
"value",1,3,0,1,0,1,1,1,2,6,6
"evaluate",0,0,0,0,0,0,0,0,0,0,0
