,"ifPart","DoubleIfElse","elsePart","length","hasMacro","params","IfElseMacro","IF_ELSE","condition","RuntimeException","StringIfElse","arg0","equals","name","getMacro","BooleanIfElse","evaluate"
"ifPart",3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"DoubleIfElse",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"elsePart",0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,3
"length",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hasMacro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"params",0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0
"IfElseMacro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IF_ELSE",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"condition",0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,3
"RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringIfElse",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"getMacro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BooleanIfElse",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"evaluate",3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6
