,"bottomToolBars","add","bottom","i","View","ToolBarManager","layer","remove","toolbar","entry","Entry","top","size","topToolBars","arg1","arg0","get","TOP_GROUP","toolbars","BOTTOM_GROUP","group"
"bottomToolBars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"bottom",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ToolBarManager",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"layer",0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0
"remove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"toolbar",0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,3,1,0,0,0,0
"entry",0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0
"Entry",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"top",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"topToolBars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"TOP_GROUP",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toolbars",0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0
"BOTTOM_GROUP",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"group",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
