,"createDockingLayout","view","instance","DockableWindowManagerImpl","create","config","DockableWindowConfig"
"createDockingLayout",0,0,0,0,0,0,0
"view",0,0,0,1,0,0,0
"instance",0,0,0,1,0,0,0
"DockableWindowManagerImpl",0,0,0,0,1,0,0
"create",0,0,0,0,0,0,0
"config",0,0,0,1,0,0,0
"DockableWindowConfig",1,0,0,0,0,0,0
