,"next","ret","subit","parent","stack","getContent","length","hasNext","source","ascending","copyOf","DescendantIterator","descending","remove","iterator","current","len","ArrayCopy","hasnext","ssize"
"next",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ret",4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"subit",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"parent",0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"stack",0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"getContent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"length",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0
"source",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ascending",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"copyOf",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DescendantIterator",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"descending",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"remove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"iterator",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"current",1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"len",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayCopy",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hasnext",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ssize",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
