,"annotation","add","method","ArrayList","format","annotations","annotationType","validateAnnotatedMethod","String","message","getAnnotations","isAssignableFrom","Exception","unmodifiableList","arg1","arg0","getSimpleName","clazz","errors"
"annotation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"method",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"format",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"annotations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annotationType",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"validateAnnotatedMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"message",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getAnnotations",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"isAssignableFrom",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Exception",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"unmodifiableList",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSimpleName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"clazz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"errors",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
