,"getClass","getName","printStackTrace","e","RevisionUtils","String","stemmer","args","extract","useStemmer","options","toString","NullStemmer","word","stem","getRevision","Stemming"
"getClass",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getName",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"printStackTrace",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RevisionUtils",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"stemmer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"args",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"extract",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"useStemmer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"options",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NullStemmer",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"word",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"stem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stemming",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
