,"toCharArray","ArrayList","scanTypeArgumentSignature","Util","String","checkName","CLASS_TYPE_SIGNATURE","org.emftext.language.java.types.impl.CharImpl@4174d7de","C_INT","getIntersectionTypeBounds","appendTypeArgumentSignature","qualifiedType","removeCapture","arrayCount","parameterizedTypeSignature","C_GENERIC_START","scanClassTypeSignature","IllegalArgumentException","C_BYTE","firstGenericStart","formalTypeParameterSignature","org.emftext.language.java.types.impl.CharImpl@3bf95cd0","appendTypeSignature","fullyQualifyTypeNames","size","util","appendIntersectionTypeSignature","splitOn","appendArrayTypeSignature","encodeArrayDimension","subarray","org.emftext.language.java.types.impl.CharImpl@b9f9423","getArrayCount","INTERSECTION_TYPE_SIGNATURE","charArrays","getTypeVariable","boundSignatureChars","lastAppendedChar","org.emftext.language.java.types.impl.CharImpl@79aa17ba","result","typeSignature","pos","arraycopy","org.emftext.language.java.types.impl.CharImpl@20f86fd6","resolved","LONG","encodeQualifiedName","c","e","getChars","i","p","C_COLON","rts","C_SHORT","StringBuffer","t","nameStart","C_PARAM_START","isVargArgs","createTypeParameterSignature","toString","jdt","C_CHAR","elementType","createTypeSignature","EXTENDS","C_NAME_END","startIndex","segment","BASE_TYPE_SIGNATURE","org.emftext.language.java.types.impl.CharImpl@6f0a87ff","includeReturnType","toQualifiedName","getTypeParameters","CAPTURE","C_RESOLVED","add","methodOrTypeSignature","removePackageQualifiers","parameterTypes","C_DOUBLE","last","count","isWhitespace","org.emftext.language.java.types.impl.CharImpl@5c80803b","BOOLEAN","org.emftext.language.java.types.impl.CharImpl@2a86a70d","arg3","arg2","org.emftext.language.java.types.impl.CharImpl@83fdbbb","arg4","WILDCARD_TYPE_SIGNATURE","createMethodSignature","scanTypeSignature","CAPTURE_TYPE_SIGNATURE","arg1","arg0","name","isDigit","paramList","idx","appendTypeArgumentSignatures","parameters","fragmentEquals","org.emftext.language.java.types.impl.CharImpl@6d8e152b","appendCaptureTypeSignature","string","dims","boundLength","getParameterTypes","System","remove","CharOperation","typeParameterName","innerTypeStart","divider","end","checkNextChar","compiler","org.emftext.language.java.types.impl.CharImpl@5e48777e","scanTypeVariableSignature","org","valueOf","createArraySignature","start","length","scanArrayTypeSignature","C_UNRESOLVED","interfaceBounds","C_INTERSECTION","pts","SHORT","args","C_DOT","lastIndexOf","nameEnd","org.emftext.language.java.types.impl.CharImpl@e585d61","org.emftext.language.java.types.impl.CharImpl@7b189c3","append","charAt","getQualifier","org.emftext.language.java.types.impl.CharImpl@2d5baa29","C_EXTENDS","org.emftext.language.java.types.impl.CharImpl@75dcb512","signatures","org.emftext.language.java.types.impl.CharImpl@46d53d37","C_BOOLEAN","getSignatureSimpleName","endIndex","BYTE","methodSignature","C_FLOAT","isResolved","TYPE_VARIABLE_SIGNATURE","C_CAPTURE","createIntersectionTypeSignature","C_GENERIC_END","getElementType","toBeRemoved","C_ARRAY","index","params","org.emftext.language.java.types.impl.CharImpl@1f87c306","org.emftext.language.java.types.impl.CharImpl@42e700c2","parameterLength","toStrings","qualifier","bounds","appendClassTypeSignature","sigLength","segmentLength","resultLength","returnType","internal","getParameterCount","getThrownExceptionTypes","signature","intersectionTypeSignature","parameterTypesLength","typeName","C_SUPER","org.emftext.language.java.types.impl.CharImpl@4e22ae60","CHAR","createCharArrayTypeSignature","C_LONG","NO_CHAR_CHAR","segments","argumentStart","encodeTypeSignature","paren","C_PARAM_END","resized","EMPTY_STRING","getTypeArguments","DOUBLE","NO_CHAR","org.emftext.language.java.types.impl.CharImpl@141ccb19","max","isVarArgs","toBeFound","getTypeSignatureKind","typeSignatures","getReturnType","consumeWhitespace","C_STAR","checkpoint","getTypeErasure","parameterTypesLenth","erasure","C_EXCEPTION_START","org.emftext.language.java.types.impl.CharImpl@7dbfd4e8","parameterNames","suffix","paramStart","split","returnTypeLength","boundsSize","buffer","indexOf","currentChar","Character","wordCount","lastGenericStart","C_VOID","lastGenericEnd","typeSignaturesLenth","checkArrayDimension","eclipse","setLength","firstParen","checkPos","getSimpleName","VOID","p1","FLOAT","p2","org.emftext.language.java.types.impl.CharImpl@5fca63b8","insert","org.emftext.language.java.types.impl.CharImpl@7677294e","getTypeParameterBounds","getSignatureQualifier","getSimpleNames","INT","substring","array","parameterType","SUPER","lastDot","ARRAY_TYPE_SIGNATURE","ScannerHelper","boundSignatures","exceptionList","nameChars","methodName","org.emftext.language.java.types.impl.CharImpl@125c918e","classBound","fragment","nameLength","currentWord","paramLength","Signature","exceptionStart"
"toCharArray",2,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"scanTypeArgumentSignature",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Util",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"checkName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLASS_TYPE_SIGNATURE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@4174d7de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getIntersectionTypeBounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
