,"getFailureContainer","Status","IClasspathEntry","getComparisonID","project","description","getAccessRulesStatus","JavaModelStatus","getDescription","makeRelative","OK_STATUS","ATTRIBUTE_READ_ONLY","getClasspathEntries","segment","getPath","getAttributeStatus","toString","canUpdateClasspathContainer","containerPath","IClasspathContainer","getSourceAttachmentStatus"
"getFailureContainer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"IClasspathEntry",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getComparisonID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"project",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"description",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getAccessRulesStatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JavaModelStatus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"getDescription",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"makeRelative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"OK_STATUS",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"ATTRIBUTE_READ_ONLY",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"getClasspathEntries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"segment",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getPath",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getAttributeStatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"canUpdateClasspathContainer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"containerPath",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0
"IClasspathContainer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSourceAttachmentStatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
