,"CompletionProposal","proposalKind","favoriteImports","CompletionRequestor","ignoreSet","getFavoriteReferences","isExtendedContextRequired","LAST_KIND","isAllowingRequiredProposals","require","completionProposalKind","isIgnored","requiredProposalAllowSet","FIRST_KIND","favoriteReferences","requireExtendedContext","ignoreAll","org.emftext.language.java.types.impl.IntImpl@50842175","requiredProposalKind","IllegalArgumentException"
"CompletionProposal",0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0
"proposalKind",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"favoriteImports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CompletionRequestor",0,0,0,0,4,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0
"ignoreSet",0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getFavoriteReferences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isExtendedContextRequired",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAST_KIND",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"isAllowingRequiredProposals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"require",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"completionProposalKind",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"isIgnored",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"requiredProposalAllowSet",0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FIRST_KIND",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"favoriteReferences",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"requireExtendedContext",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ignoreAll",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@50842175",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"requiredProposalKind",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4
"IllegalArgumentException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
