,"getInfo","level","incr","counts","getFatal","i","INFO","WARN","getError","getLevel","get","ERROR","getWarn","Level","event","FATAL"
"getInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"incr",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"counts",0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0
"getFatal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"INFO",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"WARN",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"getError",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLevel",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"get",1,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0
"ERROR",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"getWarn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Level",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"event",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FATAL",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
