,"date","getClose","item","getOpen","compareTo","Double","volume","that","high","getVolume","low","getLow","obj","arg0","equals","getHigh","getDate","close","OHLCDataItem","open","object"
"date",1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,4,0,0
"getClose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"item",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getOpen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compareTo",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"volume",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"that",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"high",0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,3,0,0
"getVolume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"low",0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,3,0,0
"getLow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"getHigh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"close",0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0
"OHLCDataItem",4,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,3,0,3,0
"open",0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0
"object",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
