,"getObject","getXHighValue","xHigh","YWithXInterval","ComparableObjectItem","xLow","Double","getX","getY","getYValue","getXLow","getComparable","getXLowValue","x","y","interval","NaN","getXHigh"
"getObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"getXHighValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xHigh",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YWithXInterval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ComparableObjectItem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xLow",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getY",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"getYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getXLow",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"getComparable",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getXLowValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"y",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interval",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"NaN",0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0
"getXHigh",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
