,"xy","getObject","deltaX","deltaY","getVector","getXValue","ComparableObjectItem","Double","getVectorY","getVectorX","getX","getY","vi","getYValue","getComparable","x","XYCoordinate","y","NaN","Vector"
"xy",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"getObject",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"deltaX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"deltaY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getVector",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getXValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ComparableObjectItem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"getVectorY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getVectorX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getX",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"getY",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"vi",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"getYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getComparable",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"XYCoordinate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NaN",0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"Vector",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
