,"add","item","getXHighValue","xHigh","index","allowDuplicateXValues","xLow","getDataItem","autoSort","getX","getYValue","getXLowValue","x","y","ComparableObjectSeries","XIntervalDataItem","key","XIntervalSeries"
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"item",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"getXHighValue",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xHigh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"index",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"allowDuplicateXValues",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"xLow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getDataItem",0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"autoSort",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getX",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getYValue",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getXLowValue",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ComparableObjectSeries",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XIntervalDataItem",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"key",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"XIntervalSeries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
