,"temp","Math","doubleToLongBits","Double","result","that","getX","getY","sqrt","getAngle","arg1","obj","hashCode","arg0","x","y","getLength","Vector","atan2"
"temp",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Math",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"doubleToLongBits",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sqrt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getAngle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,1,1,0,0,0,1,0,0,3,1,0,0,7,0
"y",0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,7,0
"getLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vector",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
"atan2",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
