,"item","AbstractXYDataset","getXValue","doubleValue","Double","result","selectionState","DatasetChangeInfo","getX","getY","DomainOrder","getYValue","series","getSelectionState","x","y","NaN","state","NONE","getDomainOrder","info"
"item",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractXYDataset",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getXValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doubleValue",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Double",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"result",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"selectionState",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DatasetChangeInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DomainOrder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"series",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"getSelectionState",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"y",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NaN",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"state",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NONE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"getDomainOrder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"info",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
