,"getObject","yLow","ComparableObjectItem","getYHigh","Double","getYLowValue","yHigh","getX","getY","getYValue","getYLow","getComparable","x","y","getYHighValue","YInterval","interval","NaN"
"getObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"yLow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ComparableObjectItem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getYHigh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Double",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"getYLowValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yHigh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getY",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"getYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getYLow",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"getComparable",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getYHighValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YInterval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interval",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"NaN",0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0
