,"item","getStartX","getStartY","getEndY","doubleValue","Double","getEndX","getStartYValue","getEndXValue","result","getStartXValue","series","x","y","NaN","getEndYValue"
"item",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStartX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getStartY",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getEndY",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"doubleValue",0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0
"Double",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"getEndX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getStartYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getEndXValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"getStartXValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"series",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"x",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"y",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"NaN",0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
"getEndYValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
