,"temp","doubleToLongBits","Double","result","that","getX","getY","obj","hashCode","arg0","x","XYCoordinate","y","toString"
"temp",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"doubleToLongBits",2,0,2,0,0,0,0,0,0,0,0,0,0,0
"Double",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,2,0,0,0,0,1,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,0,3,0,3,0
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,3,1,0,0,0,1,1,7,0,1
"XYCoordinate",0,0,0,0,0,0,0,0,0,0,7,0,7,0
"y",0,0,0,0,3,0,1,0,0,1,0,7,1,1
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0
