,"b","org.emftext.language.java.types.impl.ByteImpl@1bb7fbc4","getBuffer","getLimit","count","length","newlim","off","System","capacity","arg3","arg2","arg4","BoundedByteArrayOutputStream","len","size","arg1","arraycopy","arg0","limit","buffer"
"b",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"org.emftext.language.java.types.impl.ByteImpl@1bb7fbc4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getBuffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLimit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"count",0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1
"length",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"newlim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"capacity",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BoundedByteArrayOutputStream",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"len",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arraycopy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"limit",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"buffer",0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
