,"add","process","instance","instances","i","index","batchFinished","getInputFormat","Instances","result","processed","getOutputFormat","numInstances","inst","numPendingOutput","copy","outputFormat"
"add",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"process",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"instance",0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"instances",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"i",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"batchFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInputFormat",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Instances",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"result",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"processed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getOutputFormat",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"numInstances",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"inst",0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
"numPendingOutput",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"copy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"outputFormat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
