,"process","determineOutputFormat","instance","m_FirstBatchDone","instances","i","index","inputFormat","batchFinished","getInputFormat","Instances","input","numInstances","inst","numPendingOutput","copy","outputFormat"
"process",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"determineOutputFormat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"instance",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"m_FirstBatchDone",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"instances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"index",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inputFormat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"batchFinished",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInputFormat",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Instances",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"input",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numInstances",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"inst",0,0,2,0,2,0,0,1,0,0,1,0,3,0,0,0,0
"numPendingOutput",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"copy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"outputFormat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
