,"next","valClass","set","compress","count","Reader","conf","fs","seek","n","file","get","progress","LongWritable","class","value","Writer","append","key"
"next",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"valClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"set",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"compress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"count",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Reader",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"conf",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"fs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"seek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"file",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"get",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
"progress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LongWritable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"class",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"value",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Writer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"key",1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
