,"Buffer","count","start","length","DataInputStream","org.emftext.language.java.types.impl.ByteImpl@39a08e45","input","buf","getPosition","DataInputBuffer","ByteArrayInputStream","pos","getLength","reset","buffer","mark","getData"
"Buffer",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
"count",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"start",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"length",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"DataInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.ByteImpl@39a08e45",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"input",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"buf",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getPosition",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"DataInputBuffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ByteArrayInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getLength",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"reset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"buffer",0,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,1
"mark",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getData",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
