,"val","next","c","Configuration","compress","WritableComparator","keyClass","Reader","conf","fs","NullWritable","seek","comparator","get","class","Writer","key","dirName"
"val",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"next",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Configuration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"compress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"WritableComparator",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"keyClass",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Reader",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"conf",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"fs",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
"NullWritable",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"seek",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"comparator",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"get",2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
"class",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
"Writer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"key",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"dirName",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
