,"other","thisValue","in","readVInt","VIntWritable","WritableUtils","i","compareTo","out","o","Integer","stream","writeVInt","hashCode","get","equals","arg0","toString","value","thatValue"
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"thisValue",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"in",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"readVInt",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VIntWritable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"WritableUtils",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compareTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"out",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"o",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Integer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"stream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"writeVInt",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"value",1,1,0,0,3,0,1,0,0,0,0,0,0,1,1,2,1,0,2,0
"thatValue",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
