,"E","i","Stack","o","result","lastIndexOf","contains","s","size","addAll","pos","IdentityStack","arg0","getInstance","indexOf"
"E",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,1,0,0,0,0,2,0,2,0,1
"Stack",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"result",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"lastIndexOf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"size",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"addAll",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"pos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IdentityStack",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indexOf",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
