,"OutputStreamFunneler","Funnel","DEFAULT_TIMEOUT_MILLIS","b","funnel","off","out","arg2","flush","len","arg1","arg0","closed","timeoutMillis","getFunnelInstance","write","close"
"OutputStreamFunneler",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Funnel",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"DEFAULT_TIMEOUT_MILLIS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"funnel",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"off",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"out",2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flush",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"len",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"closed",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"timeoutMillis",1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"getFunnelInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"close",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
