,"TaskLogger","msg","Project","MSG_ERR","task","log","MSG_INFO","MSG_VERBOSE","MSG_DEBUG","message","msgLevel","MSG_WARN"
"TaskLogger",0,0,0,0,1,0,0,0,0,0,0,0
"msg",0,0,0,0,0,0,0,0,0,0,0,0
"Project",0,0,0,1,0,0,1,1,1,0,0,1
"MSG_ERR",0,0,1,0,0,0,0,0,0,0,1,0
"task",1,0,0,0,1,5,0,0,0,0,0,0
"log",0,0,0,0,5,0,0,0,0,0,0,0
"MSG_INFO",0,0,1,0,0,0,0,0,0,0,1,0
"MSG_VERBOSE",0,0,1,0,0,0,0,0,0,0,1,0
"MSG_DEBUG",0,0,1,0,0,0,0,0,0,0,1,0
"message",0,5,0,0,0,0,0,0,0,0,0,0
"msgLevel",0,0,0,0,0,0,0,0,0,0,0,0
"MSG_WARN",0,0,1,0,0,0,0,0,0,0,1,0
