,"arg2","TeeOutputStream","b","flush","len","left","arg1","arg0","right","close","write","off"
"arg2",0,0,0,0,0,0,0,0,0,0,0,0
"TeeOutputStream",0,0,0,0,0,1,0,0,1,0,0,0
"b",0,0,0,0,0,0,0,6,0,0,0,0
"flush",0,0,0,0,0,1,0,0,1,0,0,0
"len",2,0,0,0,0,0,0,0,0,0,0,0
"left",0,1,0,1,0,1,0,0,0,1,3,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0
"right",0,1,0,1,0,0,0,0,1,1,3,0
"close",0,0,0,0,0,1,0,0,1,0,0,0
"write",0,0,0,0,0,3,0,0,3,0,0,0
"off",0,0,0,0,0,0,2,0,0,0,0,0
